"offset","length","en","id"
"84788","16","Almost finished.","Hampir selesai."
"84805","14","Survey Request","Permintaan Survei"
"84820","74","Well, excuse me for being a little stressed out over the end of the world!","Baiklah, maafkan saya karena sedikit stres karena akhir dunia!"
"84895","20","18 GENERIC Zheng Chu","18 GENERIK Zheng Chu"
"84916","48","Jesus, what a waste. Marshall may be lost. -%1$s","Ya Tuhan, sayang sekali. Marshall mungkin tersesat. -%1$s"
"84965","8","Pharmacy","Farmasi"
"84974","27","What are you doing up here?","Apa yang kamu lakukan di sini?"
"85002","37","Maybe they have room for one more ...","Mungkin mereka punya ruang untuk satu lagi..."
"85040","15","Amateur Chemist","Ahli Kimia Amatir"
"85056","29","Clear, sir. Black Friday out.","Jelas, Pak. Black Friday keluar."
"85093","9","Make MREs","Buat MRE"
"85103","143","Doors are never considered locked for you, and you make no noise when you search. You can also move quickly while sneaking by holding [sprint].","Pintu tidak pernah dianggap terkunci bagi Anda, dan Anda tidak mengeluarkan suara saat mencari. Kamu juga bisa bergerak cepat sambil menyelinap dengan menahan [sprint]."
"85247","130","After witnessing the death of her rescuer, Michele Martin attempted to flee on her own, but soon fell prey to the zombies herself.","Setelah menyaksikan kematian penyelamatnya, Michele Martin berusaha melarikan diri sendiri, tapi segera menjadi mangsa zombie itu sendiri."
"85378","60","You'll be tending my boot up your ass if you're not careful.","Kamu akan mengurus sepatu botku jika kamu tidak hati-hati."
"85439","44","I am way too tired to lug that thing around.","Aku terlalu lelah untuk membawa benda itu kemana-mana."
"85484","8","Quintero","kuintero"
"85493","49","We need more ammunition or we're in real trouble.","Kita memerlukan lebih banyak amunisi atau kita akan berada dalam masalah besar."
"85543","15","Has lost trust.","Telah kehilangan kepercayaan."
"85559","30","Research Chemical Incendiaries","Penelitian Pembakar Kimia"
"85590","11","Drank a Lot","Minum Banyak"
"85605","58","When you're ready, use your radio to call for extraction. ","Jika Anda sudah siap, gunakan radio Anda untuk meminta ekstraksi. "
"85665","32","You will leave on the next helo.","Anda akan berangkat pada halo berikutnya."
"85698","56","Some people are too INDEPENDENT to ever give 100% trust.","Beberapa orang terlalu INDEPENDEN untuk memberikan kepercayaan 100%."
"85755","57","Fully exploring a building creates a temporary safe area.","Menjelajahi bangunan sepenuhnya menciptakan area aman sementara."
"85813","10","Richardson","Richardson"
"85824","14","Help & Options","Bantuan & Opsi"
"85839","39","Just let me know when you find the Doc.","Beritahu saya jika Anda sudah menemukan Dokternya."
"85879","18","HURT: Cracked Ribs","TERLUKA: Tulang Rusuk Retak"
"85898","13","Search (Hold)","Cari (Tahan)"
"85920","68","I'm having a heck of a time finding people willing to trade with us.","Saya kesulitan menemukan orang yang mau berdagang dengan kami."
"85989","33","Help the survivor gather supplies","Bantu korban mengumpulkan perbekalan"
"86037","45","The youngest Wilkerson brother is near death.","Adik bungsu Wilkerson hampir meninggal."
"86083","20","%d Civilians Rescued","%d Warga Sipil Diselamatkan"
"86104","157","Seeing this thing finally done... it's worth all the splinters and sore muscles. We're actually building something new here, not just squatting in the ruins.","Melihat hal ini akhirnya selesai... itu sepadan dengan semua serpihan dan nyeri otot. Kami sebenarnya sedang membangun sesuatu yang baru di sini, tidak hanya tinggal diam di reruntuhan."
"86262","25","Yes, we're building here.","Ya, kami sedang membangun di sini."
"86288","30","Trait Discovered: Lost Brother","Sifat yang Ditemukan: Saudara yang Hilang"
"86319","25","I hope that was worth it.","Saya harap itu sepadan."
"86345","81","The most important thing, at a time like this, is knowing somebody has your back.","Hal terpenting, di saat seperti ini, adalah mengetahui seseorang mendukung Anda."
"86427","28","Looks like zeds on our left.","Sepertinya zeds di sebelah kiri kita."
"86456","31","Given any thought to our offer?","Mengingat tawaran kami?"
"86488","23","90 GENERIC Darryl White","90 GENERIK Darryl White"
"86512","48","No, I wouldn't call this a defensible perimeter.","Tidak, saya tidak akan menyebut ini sebagai perimeter yang bisa dipertahankan."
"86561","56","Having someone up here should help keep the zeds at bay.","Memiliki seseorang di sini akan membantu menjaga jarak."
"86618","13","Oh, fuck you!","Oh, persetan!"
"86632","121","So don't go thinking you can force us to take you away from all this, because we will shoot you. Thoroughly. That is all.","Jadi jangan berpikir kamu bisa memaksa kami untuk membawamu pergi dari semua ini, karena kami akan menembakmu. Secara menyeluruh. Itu saja."
"86754","24","Zeds north of the border","Zeds di utara perbatasan"
"86779","29","Now that you mention it...no.","Sekarang setelah Anda menyebutkannya...tidak."
"86809","33","Those things are gas guzzlers. We","Hal-hal itu boros bahan bakar. Kami"
"86845","49","ll need a lot of fuel if we want to get anywhere.","kita akan membutuhkan banyak bahan bakar jika kita ingin pergi kemana saja."
"86910","31","How about some help over here?!","Bagaimana kalau bantuan di sini?!"
"86942","64","Built-in facilities can never be upgraded. You get what you get.","Fasilitas bawaan tidak akan pernah dapat ditingkatkan. Anda mendapatkan apa yang Anda dapatkan."
"87007","108","Thomas Horn's graduate assistant, Madison Grant, is on a helo bound for ... well, someplace safer than here.","Asisten pascasarjana Thomas Horn, Madison Grant, sedang dalam perjalanan menuju ... yah, tempat yang lebih aman daripada di sini."
"87117","105","If anyone can turn Horn's notes into something that might help against this apocalypse, it's her. I hope.","Jika ada yang bisa mengubah catatan Horn menjadi sesuatu yang mungkin bisa membantu melawan kiamat ini, dialah orangnya. Saya harap."
"87223","12","Current Goal","Tujuan Saat Ini"
"87236","23","KILLED: Dr. Thomas Horn","TERBUNUH: Dr. Thomas Horn"
"87260","206","The Home page is where you can view, build, and upgrade your Community's Facilities. Use the mouse to select a Facility Slot and get more information about the bonuses it provides and the actions available.","Halaman Beranda adalah tempat Anda dapat melihat, membangun, dan meningkatkan Fasilitas Komunitas Anda. Gunakan mouse untuk memilih Slot Fasilitas dan dapatkan informasi lebih lanjut tentang bonus yang diberikan dan tindakan yang tersedia."
