"offset","length","text"
"84788","16","Almost finished."
"84805","14","Survey Request"
"84820","74","Well, excuse me for being a little stressed out over the end of the world!"
"84895","20","18 GENERIC Zheng Chu"
"84916","48","Jesus, what a waste. Marshall may be lost. -%1$s"
"84965","8","Pharmacy"
"84974","27","What are you doing up here?"
"85002","37","Maybe they have room for one more ..."
"85040","15","Amateur Chemist"
"85056","29","Clear, sir. Black Friday out."
"85093","9","Make MREs"
"85103","143","Doors are never considered locked for you, and you make no noise when you search. You can also move quickly while sneaking by holding [sprint]."
"85247","130","After witnessing the death of her rescuer, Michele Martin attempted to flee on her own, but soon fell prey to the zombies herself."
"85378","60","You'll be tending my boot up your ass if you're not careful."
"85439","44","I am way too tired to lug that thing around."
"85484","8","Quintero"
"85493","49","We need more ammunition or we're in real trouble."
"85543","15","Has lost trust."
"85559","30","Research Chemical Incendiaries"
"85590","11","Drank a Lot"
"85605","58","When you're ready, use your radio to call for extraction. "
"85665","32","You will leave on the next helo."
"85698","56","Some people are too INDEPENDENT to ever give 100% trust."
"85755","57","Fully exploring a building creates a temporary safe area."
"85813","10","Richardson"
"85824","14","Help & Options"
"85839","39","Just let me know when you find the Doc."
"85879","18","HURT: Cracked Ribs"
"85898","13","Search (Hold)"
"85920","68","I'm having a heck of a time finding people willing to trade with us."
"85989","33","Help the survivor gather supplies"
"86037","45","The youngest Wilkerson brother is near death."
"86083","20","%d Civilians Rescued"
"86104","157","Seeing this thing finally done... it's worth all the splinters and sore muscles. We're actually building something new here, not just squatting in the ruins."
"86262","25","Yes, we're building here."
"86288","30","Trait Discovered: Lost Brother"
"86319","25","I hope that was worth it."
"86345","81","The most important thing, at a time like this, is knowing somebody has your back."
"86427","28","Looks like zeds on our left."
"86456","31","Given any thought to our offer?"
"86488","23","90 GENERIC Darryl White"
"86512","48","No, I wouldn't call this a defensible perimeter."
"86561","56","Having someone up here should help keep the zeds at bay."
"86618","13","Oh, fuck you!"
"86632","121","So don't go thinking you can force us to take you away from all this, because we will shoot you. Thoroughly. That is all."
"86754","24","Zeds north of the border"
"86779","29","Now that you mention it...no."
"86809","33","Those things are gas guzzlers. We"
"86845","49","ll need a lot of fuel if we want to get anywhere."
"86910","31","How about some help over here?!"
"86942","64","Built-in facilities can never be upgraded. You get what you get."
"87007","108","Thomas Horn's graduate assistant, Madison Grant, is on a helo bound for ... well, someplace safer than here."
"87117","105","If anyone can turn Horn's notes into something that might help against this apocalypse, it's her. I hope."
"87223","12","Current Goal"
"87236","23","KILLED: Dr. Thomas Horn"
"87260","206","The Home page is where you can view, build, and upgrade your Community's Facilities. Use the mouse to select a Facility Slot and get more information about the bonuses it provides and the actions available."
"87468","174","An Infirmary is critical when it comes to dealing with disease and injury; a Workshop is necessary to keep your gear in working order; a Latrine helps stave off disease, etc."
"87643","34","We could set up a watchtower here."
"87678","59","Custom paint job on this sport utility vehicle. Seats four."
"87738","25","128 HERO Charley Marshall"
"87764","34","Requires SYNDICATED ADVICE COLUMN."
"87799","7","Level 7"
"87807","83","Y'know, you're not the only person who feels like shit. We all got a bum deal here."
"87891","38","Try not to attract too much attention."
"87930","71","If you're not too busy feeling sorry for yourself, follow me for a sec."
"88002","96","The Titanic of the road, cruising (at low speeds) in a style that only 1987 Detroit could offer."
"88099","28","This is ... a Spartan Sword!"
"88128","108","Swine flu, Corporal? Are you trying to tell me the thing that kicks off the Book of Revelation is swine flu?"
"88237","22","Fight fire with steel."
"88260","44","Can't say this is the safest I've ever felt."
"88305","48","We might actually unfuck ourselves at this rate."
"88354","50","%d added to Supply Locker. (Passable food supply.)"
"88405","23","120 HERO Alan Gunderson"
"88433","90","Could be so much more than just another zombie-killing grunt. If only people would listen."
"88524","13","Tattoo Artist"
"88538","47","Yeah, well, faith's not exactly my strong suit."
"88586","41","Hold on, Eldridge. You'll have your time."
"88628","8","Dalhgren"
"88637","32","Just need a couple more minutes."
"88670","8","Brittany"
"88679","108","Black Friday, recon just picked up movement near the last known position of one of Doctor Horn's colleagues."
"88795","27","Don't forget to be awesome!"
"88830","60","In the meantime, I think I'm going to look around some more."
"88891","14","Random injury!"
"88906","29","TRUST LOST (Ally Set on Fire)"
"88936","21","Wouldn't mind a hand."
"88958","29","Jesus Christ, that was close."
"88988","30","We should try to make contact."
"89019","33","Man, they're all over that thing."
"89053","37","Press [aim.reload] to unjam your gun."
"89091","34","EXPIRED: Trouble at the Courthouse"
"89126","8","Controls"
"89135","44","White paint pen on black construction paper."
"89180","18","Assault Rifle: RFB"
"89199","97","I like a fight as much as the next guy, but maybe we should try using a little stealth next time."
"89297","45","Unhappy community members create instability."
"89343","31","Muffin angels forty, ten mikes."
"89375","126","Yeah, well... when I was a kid, my best friend Sally? She lived in this house. I was so jealous, I always wanted to live here."
"89502","32","Passed on a job from Ray Santos."
"89535","56","Let's hope we don't have to do that again any time soon."
"89592","42","It ain't hard to find. Lemme see your map."
"89635","18","People are Strange"
"89660","58","Something cropped up with the Garden. Uh. No pun intended."
"89719","18","No, not this time."
"89738","36","ADD MISSION. Find out where Carl is."
"89775","39","Umm. Yeah. Sorry. Too much information."
"89815","23","I'll see what I can do."
"89839","67","I'd like to see her try to cut through a horde and save a civilian."
"89907","20","ABORTED: Accusations"
"89928","51","That high-value asset is on the way to the capital."
"89980","17","Back in business."
"89998","264","Hadley is the son of Matthew Westen, the sole proprietor of Westen Allied Industries. With most government services out of commission, we're relying on Westen's shipping business (Westen Food Services) to keep supply lines running. And that means rescuing his son."
"90263","64","Looks like I'm stuck minding the home front till this arm heals."
"90328","103","Walking? Please. Just reach under the steering column, touch the brown wire to the red ones, and voila."
"90432","48","Food, medicine, ammunition, materials, and fuel."
"90481","122","[firm but sympathetic] Look, I know this is a shitty deal, but you can't just crawl into a corner and hide from the world."
"90604","28","We need to search this area."
"90633","14","Aluminum Pipes"
"90648","26","42 GENERIC Tom Cassavettes"
"90675","57","Let's see to those barricades before more of 'em show up."
"90733","31","Hey. I have some supplies here?"
"90765","45","Don't suppose you'd be willing to take us in?"
"90811","157","I've always been a private person. Even when my husband was still alive, I always had my own office I could disappear into, just to have some time to myself."
"90969","55","How'd you get through that so easily? What's the trick?"
"91028","45","Take out the Screamers, and the rest is easy."
"91074","98","I, um ... look, I know what you're thinking, and I swear, we had no idea this was going to happen."
"91173","91","Be advised that I have authorized all troops to respond to such measures with lethal force."
"91265","23","HISTORY: Nearly Starved"
"91289","91","Things are starting to sound pretty urgent. I don't know how long our friends can hold out."
"91381","21","Built In Medical Area"
"91403","121","It could be that ""Cleo"" knows our original deployment plan, but hasn't been keeping up with current events. Highroad out."
"91529","37","You know anything about this Ray guy?"
"91586","13","A good setup."
"91607","50","Need to head home and rest. Food's not gonna help."
"91658","54","Otherwise, I'm going to take inventory of what's here."
"91713","18","Siege in progress!"
"91732","39","Wonder what she's got for us this time?"
"91772","56","Well fuck it, can we just shoot it, set it off that way?"
"91829","65","We're going to need a few things to complete this upgrade. - %1$s"
"91895","49","At this rate, we could start our own lumber yard."
"91945","11","Born Leader"
"91957","65","The best part of you dribbled down the crack of your momma's ass."
"92023","38","Oh. Was it... I mean... did he suffer?"
"92062","44","TIP: Press [execute] to shove an enemy away."
"92107","10","Good luck."
"92118","24","Destroy the Feral Zombie"
"92143","49","Let's find a vehicle than can get us out of here."
"92193","107","Plans to be the next big underground music sensation on the Internet, and being in the Army is his gimmick."
"92301","50","DECLINE MISSION. You can gather it yourself later."
"92352","19","Research at Library"
"92372","60","My handler had me collecting tissue samples from the freaks."
"92433","17","No room for that."
"92451","37","Rest in peace, you gross old bastard."
"92489","37","Maybe this ain't a total clusterfuck."
"92527","84","%1$s was in a bad place, but %2$s managed to talk them out of doing anything stupid."
"92612","14","Clear the Area"
"92627","19","Not 'til I need it."
"92647","84","It's too bad we don't have an infirmary. As it is I'm gonna be laid out for a while."
"92732","16","We're done here."
"92749","15","-10 Friendship."
"92765","14","Quentin Barnes"
"92780","41","I'll distract him, you bash his skull in."
"92822","19","Zeds on your right!"
"92842","23","I can't find my friend."
"92883","25"," that's a lot of zombies."
"92909","50","That's a few zeds that won't be a problem anymore."
"92967","20","11 MIL Lt Cat Moreno"
"92988","8","Emmanuel"
"92997","21","COMPLETED: Supply Run"
"93019","157","Alan's been saying we should move to someplace bigger, but my dad's a carpenter and he says we could build, like, a dorm room or something to get more space."
"93177","24","How many zeds ARE there?"
"93202","21","I got this one, boss!"
"93224","10","How is he?"
"93235","46","Almost done. There's a lot of good stuff here."
"93289","35","So I guess we call off the medivac?"
"93325","42","Can she reconstruct her mentor's research?"
"93368","84","Cut off an arm, dig out their eyes, rip off their balls ... the zeds keep on coming."
"93453","8","Solvents"
"93462","11","Screwdriver"
"93474","146","Needless to say, this kind of explosion is going to raise seven different kinds of hell, so if you've got any unfinished business, now's the time."
